session_id;username;time;position;velocity;rotation;current_lap
1;manelmm3;29/11/2019 20:17:18;333.6, 0.1, 398.9;0.1, -0.1, 0.0;0.0, 0.6, 0.0, 0.8;0
1;manelmm3;29/11/2019 20:17:18;333.7, 0.1, 398.9;0.4, 0.0, 0.1;0.0, 0.6, 0.0, 0.8;0
1;manelmm3;29/11/2019 20:17:18;333.9, 0.1, 398.9;0.8, 0.0, 0.0;0.0, 0.6, 0.0, 0.8;0
1;manelmm3;29/11/2019 20:17:18;334.2, 0.1, 398.9;1.3, 0.1, 0.1;0.0, 0.6, 0.0, 0.8;0
1;manelmm3;29/11/2019 20:17:19;334.8, 0.1, 399.0;2.3, 0.0, 0.1;0.0, 0.7, 0.0, 0.8;0
1;manelmm3;29/11/2019 20:17:19;335.6, 0.1, 399.0;3.6, 0.0, 0.4;0.0, 0.7, 0.0, 0.7;0
1;manelmm3;29/11/2019 20:17:19;337.0, 0.1, 399.1;4.8, -0.6, 0.1;0.0, 0.7, 0.0, 0.7;0
1;manelmm3;29/11/2019 20:17:20;338.8, 0.1, 399.2;6.9, 0.0, 0.4;0.0, 0.7, 0.0, 0.7;0
1;manelmm3;29/11/2019 20:17:20;341.3, 0.1, 399.3;8.8, 0.0, 0.1;0.0, 0.7, 0.0, 0.7;0
1;manelmm3;29/11/2019 20:17:20;344.2, 0.1, 399.3;10.5, 0.0, 0.1;0.0, 0.7, 0.0, 0.7;0
1;manelmm3;29/11/2019 20:17:21;347.6, 0.1, 399.2;12.1, 0.0, -0.5;0.0, 0.7, 0.0, 0.7;0
1;manelmm3;29/11/2019 20:17:21;351.5, 0.1, 399.1;13.7, 0.0, -0.7;0.0, 0.7, 0.0, 0.7;0
1;manelmm3;29/11/2019 20:17:21;355.9, 0.1, 398.8;15.3, 0.0, -0.8;0.0, 0.7, 0.0, 0.7;0
1;manelmm3;29/11/2019 20:17:21;360.7, 0.1, 398.5;16.8, 0.0, -1.0;0.0, 0.7, 0.0, 0.7;0
1;manelmm3;29/11/2019 20:17:22;366.4, 0.1, 398.2;18.4, 0.0, -1.1;0.0, 0.7, 0.0, 0.7;0
1;manelmm3;29/11/2019 20:17:22;372.2, 0.1, 397.9;19.9, 0.0, -1.1;0.0, 0.7, 0.0, 0.7;0
1;manelmm3;29/11/2019 20:17:22;378.3, 0.1, 397.5;21.2, 0.0, -1.2;0.0, 0.7, 0.0, 0.7;0
1;manelmm3;29/11/2019 20:17:23;384.9, 0.1, 397.1;22.5, 0.0, -1.7;0.0, 0.7, 0.0, 0.7;0
1;manelmm3;29/11/2019 20:17:23;391.8, 0.0, 395.9;23.0, 0.0, -6.0;0.0, 0.8, 0.0, 0.6;0
1;manelmm3;29/11/2019 20:17:23;398.7, 0.0, 393.6;22.8, 0.0, -9.9;0.0, 0.8, 0.0, 0.5;0
1;manelmm3;29/11/2019 20:17:24;405.9, 0.0, 389.7;22.3, 0.0, -13.8;0.0, 0.9, 0.0, 0.5;0
1;manelmm3;29/11/2019 20:17:24;412.5, 0.0, 385.2;22.1, 0.0, -16.1;0.0, 0.9, 0.0, 0.4;0
1;manelmm3;29/11/2019 20:17:24;418.8, 0.0, 379.7;19.8, 0.0, -20.3;0.0, 0.9, 0.0, 0.4;0
1;manelmm3;29/11/2019 20:17:25;424.5, 0.0, 373.1;18.5, 0.0, -23.0;0.0, 0.9, 0.0, 0.3;0
1;manelmm3;29/11/2019 20:17:25;429.9, 0.0, 365.9;17.7, 0.0, -24.9;0.0, 1.0, 0.0, 0.3;0
1;manelmm3;29/11/2019 20:17:25;435.1, 0.0, 357.4;14.9, 0.0, -27.8;0.0, 1.0, 0.0, 0.2;0
